env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
1,0,0,Lift,voi,1,1,0.0017,1,1,10.000000,1.000000,1.003341,0.830326,0.189924,0.078338,nan,nan,nan,nan,
21,0,20,Lift,voi,1,21,0.0350,2,1,10.000000,1.000000,0.824587,0.819882,0.005340,0.002525,nan,nan,nan,nan,
176,0,175,Lift,voi,1,41,0.0683,3,1,10.000000,1.000000,1.965303,1.962317,0.019174,0.018940,nan,nan,nan,nan,
527,2,126,Lift,voi,1,61,0.1017,4,1,10.000000,1.000000,1.747285,0.821411,0.927889,0.061110,nan,nan,nan,nan,
4002,20,1,Lift,voi,1,81,0.1350,5,1,0.148032,0.042874,0.999446,0.819120,0.213222,0.113782,nan,nan,nan,nan,
4023,20,22,Lift,voi,1,101,0.1683,6,1,0.044084,0.016840,0.829030,0.820448,0.009556,0.004203,nan,nan,nan,nan,
4044,20,43,Lift,voi,1,121,0.2017,7,1,0.063517,0.023928,1.011275,1.004118,0.009635,0.006451,nan,nan,nan,nan,
4065,20,64,Lift,voi,1,141,0.2350,8,1,0.020114,0.008423,1.266045,1.258449,0.010531,0.007294,nan,nan,nan,nan,
4090,20,89,Lift,voi,1,161,0.2683,9,1,0.033055,0.014204,1.515081,1.506705,0.011748,0.008238,nan,nan,nan,nan,
4112,20,111,Lift,voi,1,181,0.3017,10,1,0.016342,0.007744,1.674240,1.668796,0.012624,0.011389,nan,nan,nan,nan,
4132,20,131,Lift,voi,1,201,0.3350,11,1,0.012953,0.008051,1.797857,1.797082,0.013262,0.013239,nan,nan,nan,nan,
4152,20,151,Lift,voi,1,221,0.3683,12,1,0.025402,0.016514,1.827626,1.835006,0.015206,0.013295,nan,nan,nan,nan,
4172,20,171,Lift,voi,1,241,0.4017,13,1,0.019836,0.015093,1.436298,1.442209,0.024311,0.023581,nan,nan,nan,nan,
4192,20,191,Lift,voi,1,261,0.4350,14,1,0.110886,0.093910,1.140140,1.146602,0.028997,0.028267,nan,nan,nan,nan,
4202,21,1,Lift,voi,1,270,0.4500,15,1,0.028536,0.008967,1.001602,0.819195,0.216566,0.116741,nan,nan,nan,nan,
4544,22,143,Lift,voi,1,290,0.4833,16,1,0.029523,0.012531,0.896366,0.820228,0.351974,0.343641,nan,nan,nan,nan,
4896,24,95,Lift,voi,1,310,0.5167,17,1,0.052933,0.021403,1.048681,0.820369,0.426474,0.360213,nan,nan,nan,nan,
5246,26,45,Lift,voi,1,330,0.5500,18,1,0.040294,0.016024,0.922497,0.821001,0.268824,0.248927,nan,nan,nan,nan,
5597,27,196,Lift,voi,1,350,0.5833,19,1,0.055702,0.021741,1.040371,0.821166,0.583173,0.540407,nan,nan,nan,nan,
5667,28,66,Lift,voi,1,354,0.5900,20,1,0.021770,0.007794,0.935168,0.819946,0.253146,0.225403,nan,nan,nan,nan,
6022,30,21,Lift,voi,1,374,0.6233,21,1,0.019037,0.006370,0.967568,0.821226,0.225492,0.171553,nan,nan,nan,nan,
6369,31,168,Lift,voi,1,394,0.6567,22,1,0.013030,0.005467,0.971961,0.820914,0.594057,0.574533,nan,nan,nan,nan,
6720,33,119,Lift,voi,1,414,0.6900,23,1,0.010218,0.003914,0.907965,0.821224,0.442560,0.433976,nan,nan,nan,nan,
7071,35,70,Lift,voi,1,434,0.7233,24,1,0.019649,0.005603,1.038304,0.820460,0.384039,0.316275,nan,nan,nan,nan,
7422,37,21,Lift,voi,1,454,0.7567,25,1,0.027581,0.008168,0.948029,0.821200,0.239657,0.203346,nan,nan,nan,nan,
7775,38,174,Lift,voi,1,474,0.7900,26,1,0.047820,0.017014,0.847707,0.820423,0.624325,0.623728,nan,nan,nan,nan,
8124,40,123,Lift,voi,1,494,0.8233,27,1,0.040595,0.011921,0.942265,0.820498,0.387678,0.368058,nan,nan,nan,nan,
8475,42,74,Lift,voi,1,514,0.8567,28,1,0.022747,0.006920,0.875840,0.820944,0.297199,0.292085,nan,nan,nan,nan,
8828,44,27,Lift,voi,1,534,0.8900,29,1,0.050893,0.016797,0.826626,0.821067,0.258859,0.258799,nan,nan,nan,nan,
9176,45,175,Lift,voi,1,554,0.9233,30,1,0.018983,0.006470,1.099826,0.820370,0.694113,0.635372,nan,nan,nan,nan,
9532,47,131,Lift,voi,1,574,0.9567,31,1,0.018029,0.008943,0.832590,0.820887,0.208754,0.208426,nan,nan,nan,nan,
9880,49,79,Lift,voi,1,594,0.9900,32,1,0.156091,0.038051,0.895017,0.820415,0.212887,0.199387,nan,nan,nan,nan,
