env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
1,0,0,Lift,voi,2,1,0.0017,1,1,10.000000,1.000000,1.011003,0.831790,0.198549,0.085466,nan,nan,nan,nan,
21,0,20,Lift,voi,2,21,0.0350,2,1,10.000000,1.000000,0.826439,0.821575,0.005584,0.002744,nan,nan,nan,nan,
176,0,175,Lift,voi,2,41,0.0683,3,1,10.000000,1.000000,1.974338,1.975359,0.016313,0.016281,nan,nan,nan,nan,
527,2,126,Lift,voi,2,61,0.1017,4,1,10.000000,1.000000,1.358148,0.820764,0.541624,0.067642,nan,nan,nan,nan,
4002,20,1,Lift,voi,2,81,0.1350,5,1,0.032802,0.009964,0.992012,0.819447,0.205049,0.110754,nan,nan,nan,nan,
4023,20,22,Lift,voi,2,101,0.1683,6,1,0.016512,0.005543,0.830358,0.821630,0.014450,0.011516,nan,nan,nan,nan,
4044,20,43,Lift,voi,2,121,0.2017,7,1,0.030349,0.013795,1.021859,1.011599,0.013502,0.008777,nan,nan,nan,nan,
4065,20,64,Lift,voi,2,141,0.2350,8,1,0.040402,0.016716,1.263976,1.253594,0.013287,0.008292,nan,nan,nan,nan,
4086,20,85,Lift,voi,2,161,0.2683,9,1,0.018961,0.007734,1.523444,1.512210,0.012942,0.006426,nan,nan,nan,nan,
4107,20,106,Lift,voi,2,181,0.3017,10,1,0.059234,0.032269,1.761120,1.750177,0.011824,0.004477,nan,nan,nan,nan,
4128,20,127,Lift,voi,2,201,0.3350,11,1,0.042968,0.025118,1.888719,1.880044,0.010735,0.006323,nan,nan,nan,nan,
4149,20,148,Lift,voi,2,221,0.3683,12,1,0.053844,0.032179,1.966949,1.964911,0.011058,0.010869,nan,nan,nan,nan,
4169,20,168,Lift,voi,2,241,0.4017,13,1,0.061535,0.047002,1.585500,1.587192,0.019098,0.019023,nan,nan,nan,nan,
4189,20,188,Lift,voi,2,261,0.4350,14,1,0.098604,0.080634,1.234010,1.233388,0.025436,0.025428,nan,nan,nan,nan,
4248,21,47,Lift,voi,2,273,0.4550,15,1,0.066915,0.018688,1.126745,0.821023,0.389442,0.241245,nan,nan,nan,nan,
4598,22,197,Lift,voi,2,293,0.4883,16,1,0.022572,0.009087,0.981414,0.821499,0.373682,0.337736,nan,nan,nan,nan,
4652,23,51,Lift,voi,2,296,0.4933,17,1,0.015142,0.005910,0.977536,0.821298,0.379727,0.346096,nan,nan,nan,nan,
5006,25,5,Lift,voi,2,316,0.5267,18,1,0.016346,0.004938,0.988623,0.819828,0.231430,0.158329,nan,nan,nan,nan,
5352,26,151,Lift,voi,2,336,0.5600,19,1,0.011585,0.003709,0.992697,0.820299,0.199815,0.101020,nan,nan,nan,nan,
5702,28,101,Lift,voi,2,356,0.5933,20,1,0.019348,0.007022,1.103358,0.820801,0.327015,0.164621,nan,nan,nan,nan,
6053,30,52,Lift,voi,2,376,0.6267,21,1,0.032263,0.013019,0.914431,0.821572,0.270459,0.254018,nan,nan,nan,nan,
6406,32,5,Lift,voi,2,396,0.6600,22,1,0.036749,0.013032,0.977483,0.820368,0.207494,0.135530,nan,nan,nan,nan,
6756,33,155,Lift,voi,2,416,0.6933,23,1,0.026853,0.008784,1.002715,0.820004,0.204178,0.091134,nan,nan,nan,nan,
7107,35,106,Lift,voi,2,436,0.7267,24,1,0.035743,0.012912,1.018713,0.820926,0.285957,0.206524,nan,nan,nan,nan,
7457,37,56,Lift,voi,2,456,0.7600,25,1,0.011497,0.003374,1.003656,0.820851,0.241394,0.157649,nan,nan,nan,nan,
7813,39,12,Lift,voi,2,476,0.7933,26,1,0.013228,0.005624,0.956118,0.820811,0.214066,0.165880,nan,nan,nan,nan,
8161,40,160,Lift,voi,2,496,0.8267,27,1,0.016800,0.006252,1.001257,0.820124,0.218221,0.121702,nan,nan,nan,nan,
8509,42,108,Lift,voi,2,516,0.8600,28,1,0.018815,0.005570,0.977821,0.821029,0.180720,0.089867,nan,nan,nan,nan,
8860,44,59,Lift,voi,2,536,0.8933,29,1,0.022102,0.006588,0.936977,0.818970,0.174818,0.128979,nan,nan,nan,nan,
9213,46,12,Lift,voi,2,556,0.9267,30,1,0.045250,0.012439,0.993722,0.821586,0.229396,0.151630,nan,nan,nan,nan,
9563,47,162,Lift,voi,2,576,0.9600,31,1,0.079334,0.025700,0.942897,0.821530,0.156191,0.098315,nan,nan,nan,nan,
9913,49,112,Lift,voi,2,596,0.9933,32,1,0.038047,0.016937,0.941952,0.834083,0.156695,0.113657,nan,nan,nan,nan,
