env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
117,0,116,Lift,random,1,1,0.0029,1,0,nan,nan,0.940254,0.820970,0.265699,0.237418,nan,nan,nan,nan,
196,0,195,Lift,random,1,21,0.0600,2,0,nan,nan,1.367049,0.820970,0.572123,0.170652,nan,nan,nan,nan,
230,1,29,Lift,random,1,26,0.0743,3,0,nan,nan,0.897189,0.819786,0.201762,0.186325,nan,nan,nan,nan,
889,4,88,Lift,random,1,46,0.1314,4,0,nan,nan,0.828948,0.820999,0.009764,0.005671,nan,nan,nan,nan,
1444,7,43,Lift,random,1,66,0.1886,5,0,nan,nan,0.868776,0.820146,0.216145,0.210604,nan,nan,nan,nan,
2084,10,83,Lift,random,1,86,0.2457,6,0,nan,nan,0.915302,0.821469,0.109760,0.056944,nan,nan,nan,nan,
2653,13,52,Lift,random,1,106,0.3029,7,0,nan,nan,0.899332,0.820491,0.266501,0.254572,nan,nan,nan,nan,
3260,16,59,Lift,random,1,126,0.3600,8,0,nan,nan,0.886434,0.821711,0.291623,0.284350,nan,nan,nan,nan,
3849,19,48,Lift,random,1,146,0.4171,9,0,nan,nan,0.929807,0.820467,0.155200,0.110144,nan,nan,nan,nan,
4451,22,50,Lift,random,1,166,0.4743,10,0,nan,nan,0.870652,0.819972,0.212057,0.205912,nan,nan,nan,nan,
5050,25,49,Lift,random,1,186,0.5314,11,0,nan,nan,0.898469,0.821564,0.328270,0.319134,nan,nan,nan,nan,
5694,28,93,Lift,random,1,206,0.5886,12,0,nan,nan,0.895508,0.821435,0.145756,0.125531,nan,nan,nan,nan,
6292,31,91,Lift,random,1,226,0.6457,13,0,nan,nan,0.843320,0.820016,0.325080,0.324244,nan,nan,nan,nan,
6876,34,75,Lift,random,1,246,0.7029,14,0,nan,nan,0.867513,0.821176,0.260873,0.256725,nan,nan,nan,nan,
7452,37,51,Lift,random,1,266,0.7600,15,0,nan,nan,0.856997,0.820115,0.309275,0.307068,nan,nan,nan,nan,
8083,40,82,Lift,random,1,286,0.8171,16,0,nan,nan,0.915181,0.820235,0.570747,0.562795,nan,nan,nan,nan,
8660,43,59,Lift,random,1,306,0.8743,17,0,nan,nan,0.852161,0.819925,0.423549,0.422321,nan,nan,nan,nan,
9307,46,106,Lift,random,1,326,0.9314,18,0,nan,nan,0.929969,0.821660,0.703777,0.695393,nan,nan,nan,nan,
9865,49,64,Lift,random,1,346,0.9886,19,0,nan,nan,0.818927,0.821525,0.243595,0.243582,nan,nan,nan,nan,
