env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
1,0,0,Lift,voi,0,1,0.0017,1,1,10.000000,1.000000,0.994758,0.831954,0.226901,0.158048,nan,nan,nan,nan,
22,0,21,Lift,voi,0,21,0.0350,2,1,10.000000,1.000000,0.844226,0.821739,0.025559,0.012149,nan,nan,nan,nan,
180,0,179,Lift,voi,0,41,0.0683,3,1,10.000000,1.000000,2.052946,2.067906,0.015358,0.003476,nan,nan,nan,nan,
527,2,126,Lift,voi,0,61,0.1017,4,1,10.000000,1.000000,1.922269,0.820075,1.146808,0.316760,nan,nan,nan,nan,
4002,20,1,Lift,voi,0,81,0.1350,5,1,0.124733,0.037774,1.017486,0.820156,0.223797,0.105575,nan,nan,nan,nan,
4029,20,28,Lift,voi,0,101,0.1683,6,1,0.054740,0.023910,0.848257,0.827204,0.021147,0.001993,nan,nan,nan,nan,
4052,20,51,Lift,voi,0,121,0.2017,7,1,0.067428,0.031729,1.043879,1.023317,0.020787,0.003052,nan,nan,nan,nan,
4077,20,76,Lift,voi,0,141,0.2350,8,1,0.116480,0.048563,1.320992,1.300479,0.021124,0.005046,nan,nan,nan,nan,
4098,20,97,Lift,voi,0,161,0.2683,9,1,0.051642,0.027734,1.567543,1.547524,0.021440,0.007675,nan,nan,nan,nan,
4185,20,184,Lift,voi,0,181,0.3017,10,1,0.055256,0.029382,1.960109,1.971954,0.027515,0.024834,nan,nan,nan,nan,
4202,21,1,Lift,voi,0,197,0.3283,11,1,0.165734,0.050113,1.008905,0.819983,0.208931,0.089222,nan,nan,nan,nan,
4240,21,39,Lift,voi,0,217,0.3617,12,1,0.051961,0.020450,0.824079,0.818885,0.006229,0.003439,nan,nan,nan,nan,
4266,21,65,Lift,voi,0,237,0.3950,13,1,0.061517,0.028819,1.038755,1.033156,0.006270,0.002823,nan,nan,nan,nan,
4289,21,88,Lift,voi,0,257,0.4283,14,1,0.053793,0.022634,1.276527,1.270787,0.006194,0.002326,nan,nan,nan,nan,
4342,21,141,Lift,voi,0,277,0.4617,15,1,0.069032,0.027256,1.620887,1.614668,0.007314,0.003850,nan,nan,nan,nan,
4676,23,75,Lift,voi,0,297,0.4950,16,1,0.060441,0.022566,1.009445,0.820262,0.525431,0.490192,nan,nan,nan,nan,
5042,25,41,Lift,voi,0,317,0.5283,17,1,0.129463,0.050242,0.901200,0.820504,0.395106,0.386777,nan,nan,nan,nan,
5373,26,172,Lift,voi,0,337,0.5617,18,1,0.059260,0.015687,0.873390,0.821441,0.565434,0.563042,nan,nan,nan,nan,
5724,28,123,Lift,voi,0,357,0.5950,19,1,0.060913,0.024956,1.014599,0.820085,0.488959,0.448604,nan,nan,nan,nan,
6146,30,145,Lift,voi,0,377,0.6283,20,1,0.100381,0.039766,0.862129,0.820049,0.395642,0.393398,nan,nan,nan,nan,
6423,32,22,Lift,voi,0,397,0.6617,21,1,0.058099,0.021505,0.908864,0.820870,0.266569,0.251627,nan,nan,nan,nan,
6773,33,172,Lift,voi,0,417,0.6950,22,1,0.068607,0.020756,0.864061,0.820265,0.601139,0.599541,nan,nan,nan,nan,
7131,35,130,Lift,voi,0,437,0.7283,23,1,0.053458,0.014494,0.842385,0.820130,0.448439,0.447886,nan,nan,nan,nan,
7528,37,127,Lift,voi,0,457,0.7617,24,1,0.066824,0.019841,0.880435,0.820964,0.472894,0.469140,nan,nan,nan,nan,
7827,39,26,Lift,voi,0,477,0.7950,25,1,0.060082,0.019984,0.919536,0.821010,0.321096,0.305606,nan,nan,nan,nan,
8287,41,86,Lift,voi,0,497,0.8283,26,1,0.089165,0.025032,0.848989,0.820948,0.431965,0.431054,nan,nan,nan,nan,
8534,42,133,Lift,voi,0,517,0.8617,27,1,0.059401,0.017997,0.923716,0.821642,0.445311,0.433454,nan,nan,nan,nan,
8897,44,96,Lift,voi,0,537,0.8950,28,1,0.056222,0.014185,0.912341,0.820667,0.327025,0.313913,nan,nan,nan,nan,
9289,46,88,Lift,voi,0,557,0.9283,29,1,0.062491,0.020867,1.125125,0.819895,0.324102,0.108979,nan,nan,nan,nan,
9635,48,34,Lift,voi,0,577,0.9617,30,1,0.054175,0.019561,0.839584,0.821680,0.137199,0.136026,nan,nan,nan,nan,
