env_step,episode,episode_step,task,strategy,seed,human_steps,budget_used_frac,engagements,candidate,score,p_fail,eef_z,cube_z,gripper_to_cube_norm,gripper_to_cube_xy,cubeA_z,cubeB_z,gripper_to_cubeA_norm,gripper_to_cubeB_norm,stack_cubeA_lifted
1,0,0,Lift,voi,1,1,0.0017,1,1,10.000000,1.000000,0.985921,0.831544,0.199645,0.126594,nan,nan,nan,nan,
21,0,20,Lift,voi,1,21,0.0350,2,1,10.000000,1.000000,0.834612,0.821329,0.013416,0.001880,nan,nan,nan,nan,
176,0,175,Lift,voi,1,41,0.0683,3,1,10.000000,1.000000,1.965544,1.957483,0.018952,0.017152,nan,nan,nan,nan,
527,2,126,Lift,voi,1,61,0.1017,4,1,10.000000,1.000000,1.675221,0.821305,0.854749,0.037733,nan,nan,nan,nan,
4002,20,1,Lift,voi,1,81,0.1350,5,1,0.070029,0.020503,1.015731,0.820153,0.204845,0.060913,nan,nan,nan,nan,
4024,20,23,Lift,voi,1,101,0.1683,6,1,0.083918,0.025717,0.823951,0.819801,0.012816,0.012125,nan,nan,nan,nan,
4046,20,45,Lift,voi,1,121,0.2017,7,1,0.096095,0.038964,1.067243,1.065878,0.010229,0.010137,nan,nan,nan,nan,
4067,20,66,Lift,voi,1,141,0.2350,8,1,0.053155,0.026430,1.308615,1.307537,0.011139,0.011087,nan,nan,nan,nan,
4090,20,89,Lift,voi,1,161,0.2683,9,1,0.056262,0.034284,1.545812,1.544428,0.012197,0.012118,nan,nan,nan,nan,
4122,20,121,Lift,voi,1,181,0.3017,10,1,0.053958,0.029887,1.694549,1.697211,0.014183,0.013931,nan,nan,nan,nan,
4144,20,143,Lift,voi,1,201,0.3350,11,1,0.051048,0.028440,1.790739,1.800128,0.015097,0.011823,nan,nan,nan,nan,
4177,20,176,Lift,voi,1,221,0.3683,12,1,0.058828,0.045683,1.839814,1.856728,0.019468,0.009639,nan,nan,nan,nan,
4198,20,197,Lift,voi,1,241,0.4017,13,1,0.123039,0.100159,1.116063,1.122488,0.025155,0.024321,nan,nan,nan,nan,
4202,21,1,Lift,voi,1,244,0.4067,14,1,0.139571,0.045373,0.997468,0.818741,0.207376,0.105173,nan,nan,nan,nan,
4231,21,30,Lift,voi,1,264,0.4400,15,1,0.085214,0.025876,0.863873,0.819865,0.066095,0.049314,nan,nan,nan,nan,
4440,22,39,Lift,voi,1,284,0.4733,16,1,0.074511,0.028640,0.902331,0.820004,0.364194,0.354767,nan,nan,nan,nan,
4803,24,2,Lift,voi,1,304,0.5067,17,1,0.071849,0.020896,0.988223,0.818332,0.207323,0.118827,nan,nan,nan,nan,
5209,26,8,Lift,voi,1,324,0.5400,18,1,0.053096,0.021069,1.037140,0.820757,0.229369,0.076084,nan,nan,nan,nan,
5499,27,98,Lift,voi,1,344,0.5733,19,1,0.053554,0.019927,0.977957,0.820525,0.391276,0.358207,nan,nan,nan,nan,
5860,29,59,Lift,voi,1,364,0.6067,20,1,0.076081,0.026830,0.997778,0.820956,0.221813,0.133921,nan,nan,nan,nan,
6231,31,30,Lift,voi,1,384,0.6400,21,1,0.087852,0.031909,0.939990,0.820484,0.332580,0.310367,nan,nan,nan,nan,
6594,32,193,Lift,voi,1,404,0.6733,22,1,0.072711,0.021929,1.087637,0.820250,0.405929,0.305423,nan,nan,nan,nan,
6676,33,75,Lift,voi,1,411,0.6850,23,1,0.094805,0.034563,1.012878,0.820987,0.343055,0.284366,nan,nan,nan,nan,
7227,36,26,Lift,voi,1,431,0.7183,24,1,0.050375,0.018340,0.988185,0.820096,0.223035,0.146598,nan,nan,nan,nan,
7409,37,8,Lift,voi,1,451,0.7517,25,1,0.058902,0.019130,1.005914,0.820732,0.212617,0.104467,nan,nan,nan,nan,
8040,40,39,Lift,voi,1,471,0.7850,26,1,0.158251,0.047899,0.860259,0.819829,0.442616,0.440765,nan,nan,nan,nan,
8437,42,36,Lift,voi,1,491,0.8183,27,1,0.068575,0.020354,0.942984,0.821024,0.231679,0.196979,nan,nan,nan,nan,
8819,44,18,Lift,voi,1,511,0.8517,28,1,0.053355,0.017664,0.849050,0.821710,0.170843,0.168642,nan,nan,nan,nan,
9034,45,33,Lift,voi,1,531,0.8850,29,1,0.056770,0.017245,0.868905,0.821301,0.246693,0.242056,nan,nan,nan,nan,
9221,46,20,Lift,voi,1,551,0.9183,30,1,0.088776,0.025238,0.927588,0.819968,0.277113,0.255361,nan,nan,nan,nan,
9820,49,19,Lift,voi,1,571,0.9517,31,1,0.088596,0.025375,0.859822,0.820354,0.211884,0.208176,nan,nan,nan,nan,
9840,49,39,Lift,voi,1,591,0.9850,32,1,0.094471,0.025848,0.928849,0.820354,0.110601,0.021481,nan,nan,nan,nan,
